date,amount,cost_per_gram
2024-04-02T17:03:11.294,0.08,22.2,c5ba7415-7d11-413f-b32f-9750faf84cff
2024-04-02T17:22:27.792,0.08,22.2,2d1d854f-68bb-4035-8dc5-177d47d3f56a
2024-04-02T18:38:58.195,0.08,22.2,10e33925-f514-4a25-80cf-9baf247853c6
2024-04-02T19:49:08.311,0.08,22.2,7f782277-0a62-4963-abba-4823d3cea738
2024-04-02T21:26:15.003,0.08,22.2,b5e6e73c-aee6-41d7-b2b1-e60bd887aae5
2024-04-02T21:45:37.565,0.08,22.2,44dc2ae5-f36a-46b8-af7a-de92a2e85c57
2024-04-02T22:06:00,0.08,22.2,73220d13-0c5d-415d-9790-ea387144429d
2024-04-02T22:22:49.858,0.08,22.2,81e7e4e1-999f-43e0-8227-5f6914152c75
2024-04-02T23:10:00,0.08,22.2,28f45846-1d5e-405b-979a-250a2b6ee632
2024-04-02T23:25:13.745,0.08,22.2,8e97df70-d926-409a-8201-6c31e1236452
2024-04-03T08:58:58.171,0.08,22.2,f0af29c1-4dbb-4f8b-8241-120f2deeb675
2024-04-03T11:32:02.556,0.08,22.2,4adf5f8b-5db2-42ba-9db0-5780cc647178
2024-04-03T11:51:00,0.08,22.2,dbef6602-8963-4f2b-86de-4cc8d1dbd94a
2024-04-03T12:32:13.391,0.08,22.2,6e8e291a-1654-45f3-adcf-cc61b90e335c
2024-04-03T12:46:54.476,0.08,22.2,2f0f80e0-d32d-4847-ad5e-de35c15d4582
2024-04-03T14:39:35.866,0.08,22.2,1d07d1cb-42a2-4cd7-8573-8c6e81139ac8
2024-04-03T14:50:45.786,0.08,22.2,8781165c-4cef-4a2f-b051-caff7aca6316
2024-04-03T15:02:02.673,0.08,22.2,1ab3248e-3181-417f-898d-a66e1d8e1790
2024-04-03T17:02:40.095,0.08,22.2,a8c7177e-5a89-48b3-a72c-e44819c27b61
2024-04-03T17:20:25.474,0.08,22.2,249eea95-670c-462c-8083-bce0b32532c9
2024-04-03T17:36:29.391,0.08,22.2,b5f6a62f-7cb7-4903-b14d-5727d128571b
2024-04-03T19:15:41.771,0.08,22.2,24b2d270-b7bd-4a92-9bb7-57ae9808c8c5
2024-04-03T19:25:48.085,0.08,22.2,7874fb7f-8d04-4449-83a7-94d62c1b22b2
2024-04-03T21:53:32.108,0.08,22.2,e5321e13-7ff6-45a0-b337-c47992af3e87
2024-04-03T22:12:17.512,0.08,22.2,f50d0022-0953-4332-af3f-97809f76d2db
2024-04-03T22:50:47.246,0.08,22.2,a9b65265-4ce9-41b8-aea1-18d35e50db12
2024-04-04T08:43:00,0.08,22.2,f33d7231-885f-4922-9c4c-eff2a778a8d1
2024-04-04T08:58:29.131,0.08,22.2,68cb79ba-9b49-416e-9203-bf7d0b83c280
2024-04-04T10:41:56.852,0.08,22.2,e165c23d-c330-43ae-a4d9-9d0ef2e9383b
2024-04-04T10:56:25.381,0.08,22.2,6d95b1ac-2334-4e63-80c2-0b83eb49b2bf
2024-04-04T11:49:27.8,0.08,22.2,9007e7f5-244a-4ef3-9488-0373eb47b158
2024-04-04T13:55:26.126,0.08,22.2,5bbf933e-675c-4750-9c86-59cbc44c071a
2024-04-04T14:13:38.705,0.08,22.2,1bd8333e-9742-4f59-8dac-0633095e5150
